sha256	copies	bytes_each	wasted_bytes	source	locations
0337bb4db7d8811579b42d75b596673373014471535a6653d7c0ca1059447746	6	750366	3751830	fileadmin/s-maj/images/BilderMaja/2008juraBird/head2.jpg	hidden/sculptural-work/recent-sculptures/head2.jpg | hidden/sculptural-work/jurabird/head2.jpg | hidden/sculptural-work/sculptures/head2.jpg | hidden/sculptural-work/installations/head2.jpg | hidden/sculptural-work/bird-sculptures-test/head2.jpg | hidden/recent-work/sculptures/head2.jpg
7231303336561d93d17c9bb1db5d7afe0bcb2f8d775eb99b2e68d4f56716fac8	6	731948	3659740	fileadmin/s-maj/images/BilderMaja/2008juraBird/head1.jpg	hidden/sculptural-work/recent-sculptures/head1.jpg | hidden/sculptural-work/jurabird/head1.jpg | hidden/sculptural-work/sculptures/head1.jpg | hidden/sculptural-work/installations/head1.jpg | hidden/sculptural-work/bird-sculptures-test/head1.jpg | hidden/recent-work/sculptures/head1.jpg
2cca5265322c2ad87c3e595eb7a91f87805b24a92180f3cb9e5577da287c6edf	6	604807	3024035	fileadmin/s-maj/images/BilderMaja/2008juraBird/bird2.jpg	hidden/sculptural-work/recent-sculptures/bird2.jpg | hidden/sculptural-work/jurabird/bird2.jpg | hidden/sculptural-work/sculptures/bird2.jpg | hidden/sculptural-work/installations/bird2.jpg | hidden/sculptural-work/bird-sculptures-test/bird2.jpg | hidden/recent-work/sculptures/bird2.jpg
8008376e5b99d3a269bd4c483ee60288a727db1d65be0f699cefe625962163f5	6	522178	2610890	fileadmin/s-maj/images/BilderMaja/2008juraBird/bird1.jpg	hidden/sculptural-work/recent-sculptures/bird1.jpg | hidden/sculptural-work/jurabird/bird1.jpg | hidden/sculptural-work/sculptures/bird1.jpg | hidden/sculptural-work/installations/bird1.jpg | hidden/sculptural-work/bird-sculptures-test/bird1.jpg | hidden/recent-work/sculptures/bird1.jpg
53d84447a8185331f8d696d7f79c257f2d2a1120589064bf3ff144b4895666ac	6	435803	2179015	fileadmin/s-maj/images/BilderMaja/2008juraBird/downunder.jpg	hidden/sculptural-work/recent-sculptures/downunder.jpg | hidden/sculptural-work/jurabird/downunder.jpg | hidden/sculptural-work/sculptures/downunder.jpg | hidden/sculptural-work/installations/downunder.jpg | hidden/sculptural-work/bird-sculptures-test/downunder.jpg | hidden/recent-work/sculptures/downunder.jpg
5188bc0dee623685e41aa4f3e3ae9bfafd79ee0278cac5a03e93e1ddf45c854c	6	385119	1925595	fileadmin/s-maj/images/BilderMaja/2008juraBird/kraehe.jpg	hidden/sculptural-work/recent-sculptures/kraehe.jpg | hidden/sculptural-work/jurabird/kraehe.jpg | hidden/sculptural-work/sculptures/kraehe.jpg | hidden/sculptural-work/installations/kraehe.jpg | hidden/sculptural-work/bird-sculptures-test/kraehe.jpg | hidden/recent-work/sculptures/kraehe.jpg
93e46b15c2adad04843b045d314d49885105240f95ecaa62927f9068f06ed8e0	5	803878	3215512	fileadmin/s-maj/images/BilderMaja/2008soldierErico/soldier.jpg	hidden/sculptural-work/recent-sculptures/soldier.jpg | live/sculptural-work/soldier/soldier.jpg | hidden/sculptural-work/sculptures/soldier.jpg | hidden/sculptural-work/installations/soldier.jpg | hidden/recent-work/sculptures/soldier.jpg
b96456b50ced7a6e18156bad07d28215b6be0b8f9c523147d93149952ea7d9c3	5	757975	3031900	fileadmin/s-maj/images/BilderMaja/2008geier/jamon.JPG	hidden/sculptural-work/recent-sculptures/jamon.JPG | live/sculptural-work/vulture/jamon.JPG | hidden/sculptural-work/sculptures/jamon.JPG | hidden/sculptural-work/installations/jamon.JPG | hidden/recent-work/sculptures/jamon.JPG
35fb5726dfd6d62ac5d4f7d513fd052355c73cd930de353897deefde66364e4b	5	716775	2867100	fileadmin/s-maj/images/BilderMaja/2008soldierErico/shield1.JPG	hidden/sculptural-work/recent-sculptures/shield1.JPG | live/sculptural-work/soldier/shield1.JPG | hidden/sculptural-work/sculptures/shield1.JPG | hidden/sculptural-work/installations/shield1.JPG | hidden/recent-work/sculptures/shield1.JPG
9dc07a504c35f742baf9e0bb9f2f05334372f253afc38ca7cfab0c437024cdab	5	696874	2787496	fileadmin/s-maj/images/BilderMaja/2008soldierErico/shield.jpg	hidden/sculptural-work/recent-sculptures/shield.jpg | live/sculptural-work/soldier/shield.jpg | hidden/sculptural-work/sculptures/shield.jpg | hidden/sculptural-work/installations/shield.jpg | hidden/recent-work/sculptures/shield.jpg
ad550923aebf8f5b8fd21062fee3dc238576181fda4c89cf398769db6f93f6e4	5	676743	2706972	fileadmin/s-maj/images/BilderMaja/2008geier/geierDrin.jpg	hidden/sculptural-work/recent-sculptures/geierDrin.jpg | live/sculptural-work/vulture/geierDrin.jpg | hidden/sculptural-work/sculptures/geierDrin.jpg | hidden/sculptural-work/installations/geierDrin.jpg | hidden/recent-work/sculptures/geierDrin.jpg
8c0ae64da3ad5573668986929f571c250ea733198d57f488036611b6be97a3e3	5	653159	2612636	fileadmin/s-maj/images/BilderMaja/2008soldierErico/soldier4.jpg	hidden/sculptural-work/recent-sculptures/soldier4.jpg | live/sculptural-work/soldier/soldier4.jpg | hidden/sculptural-work/sculptures/soldier4.jpg | hidden/sculptural-work/installations/soldier4.jpg | hidden/recent-work/sculptures/soldier4.jpg
fa4fe307483a85845544873d8200887d587a48829e376c8a5c787ace7c47dfb2	5	620674	2482696	fileadmin/s-maj/images/BilderMaja/2008soldierErico/soldier3.jpg	hidden/sculptural-work/recent-sculptures/soldier3.jpg | live/sculptural-work/soldier/soldier3.jpg | hidden/sculptural-work/sculptures/soldier3.jpg | hidden/sculptural-work/installations/soldier3.jpg | hidden/recent-work/sculptures/soldier3.jpg
c53715ef2e4276ead2510e82eec3fe42d100c1f51f9b53d07da45fa9d6807754	5	601690	2406760	fileadmin/s-maj/images/BilderMaja/2008geier/geierDrin1.jpg	hidden/sculptural-work/recent-sculptures/geierDrin1.jpg | live/sculptural-work/vulture/geierDrin1.jpg | hidden/sculptural-work/sculptures/geierDrin1.jpg | hidden/sculptural-work/installations/geierDrin1.jpg | hidden/recent-work/sculptures/geierDrin1.jpg
ffa5f6d06adde1250fe07bde70b79d230f3fe098e8d91d5c180fc91b149886cd	5	580153	2320612	fileadmin/s-maj/images/BilderMaja/2008geier/cv1.JPG	hidden/sculptural-work/recent-sculptures/cv1.JPG | live/sculptural-work/vulture/cv1.JPG | hidden/sculptural-work/sculptures/cv1.JPG | hidden/sculptural-work/installations/cv1.JPG | hidden/recent-work/sculptures/cv1.JPG
