bucket	category	project	page_uid	page_title	content_uid	ident	dam_uid	source	target	sha256	bytes	exists	proposed_new_category
deleted	other-sites	universe1	764	universe1	1051	tx_damttcontent_files	151	fileadmin/s-wt/images/universe1-1-5-1.jpg	deleted/other-sites/universe1/universe1-1-5-1.jpg	cf5e3a6c94aede40a0a1df76273cfdd55ead350722a47f147e4669c7fbab52c4	75760	True	
live	other-sites	pyrofessor	801	Feuershow für Kids	1078	tx_damttcontent_files	199	fileadmin/s-pf/images/feuer2-2.jpg	live/other-sites/pyrofessor/feuer2-2.jpg	e0c5d9a1d20d3e15adffe3ded62120b2dad1b342671936e6ce9ea7deb3c22397	18260	True	
deleted	other-sites	pyrofessor	801	Feuershow für Kids	1079	tx_damttcontent_files	161	fileadmin/s-pf/images/Himmel1.jpg	deleted/other-sites/pyrofessor/Himmel1.jpg	b23ed512cc71eba282980a6b1c5215438dc3f115be152aa065713feb182b947a	45312	True	
deleted	other-sites	pyrofessor	801	Feuershow für Kids	1080	tx_damttcontent_files	161	fileadmin/s-pf/images/Himmel1.jpg	deleted/other-sites/pyrofessor/Himmel1.jpg	b23ed512cc71eba282980a6b1c5215438dc3f115be152aa065713feb182b947a	45312	True	
live	other-sites	pyrofessor	802	X-mas	1103	tx_damttcontent_files	193	fileadmin/s-pf/images/greenchristmas.jpg	live/other-sites/pyrofessor/greenchristmas.jpg	7c630265d5882b6b8240ed61aef1b91c5e7aa37fc8e15d5a0685a7f06e6e7d38	12083	True	
live	other-sites	pyrofessor	802	X-mas	1104	tx_damttcontent_files	186	fileadmin/s-pf/images/angel.jpg	live/other-sites/pyrofessor/angel.jpg	9f17fcaec7d9460f01f98cf10b3fd460231624f920b11e4400d23dcf23e2bba2	22864	True	
live	other-sites	pyrofessor	803	Skulpturen	1109	tx_damttcontent_files	185	fileadmin/s-pf/images/pyrosaurDomaene1.jpg	live/other-sites/pyrofessor/pyrosaurDomaene1.jpg	89aa90736c4a799362c7cb2e9c9b008cb86b69f60ba28e1b8c24daa78a778a48	24770	True	
live	other-sites	pyrofessor	803	Skulpturen	1112	tx_damttcontent_files	181	fileadmin/s-pf/images/alienShow1-2.jpg	live/other-sites/pyrofessor/alienShow1-2.jpg	aa2309242967970181046cf9c63ee725b163370c055df0d4009064b533b48162	16252	True	
live	other-sites	pyrofessor	803	Skulpturen	1110	tx_damttcontent_files	158	fileadmin/s-pf/images/feuerraeder-2.jpg	live/other-sites/pyrofessor/feuerraeder-2.jpg	198ec7b62f4790c32dd76744bdf7f7303a8b9716a3a551c348b7ae98d1783f65	20058	True	
live	other-sites	pyrofessor	803	Skulpturen	1113	tx_damttcontent_files	167	fileadmin/s-pf/images/fass-2.jpg	live/other-sites/pyrofessor/fass-2.jpg	680493566212f1c55d0c28f0c3ea670cc436c75467dab759b7320f81874857ac	13279	True	
hidden	other-sites	pyrofessor	803	Skulpturen	1114	tx_damttcontent_files	192	fileadmin/s-pf/images/skulptur.jpg	hidden/other-sites/pyrofessor/skulptur.jpg	1bd07baa964eef31ec8b5ef57f9dc166b35ac1f425be084e3c45f80194aea22f	16657	True	
live	other-sites	pyrofessor	803	Skulpturen	1111	tx_damttcontent_files	187	fileadmin/s-pf/images/alienFlyer-2.jpg	live/other-sites/pyrofessor/alienFlyer-2.jpg	f1a764e49421f7a2854b384ec4e97c5a3a5bb318a1896f17191def8e27475819	19239	True	
hidden	other-sites	pyrofessor	804	Logo & Eddie	1117	tx_damttcontent_files	170	fileadmin/s-pf/images/eddie1.jpg	hidden/other-sites/pyrofessor/eddie1.jpg	57daa70a6cf6a56327fdbe6dfd72f83dded365bd7998c2c295225879c6e50558	29583	True	
live	other-sites	pyrofessor	804	Logo & Eddie	1118	tx_damttcontent_files	160	fileadmin/s-pf/images/schlappSeil1.jpg	live/other-sites/pyrofessor/schlappSeil1.jpg	30b829d7eeb2c97e9af3e6cf749cd2866f34f63cde55f34cb2bf3399e3316231	39603	True	
live	other-sites	pyrofessor	805	Jung & Alt  Workshop	1120	tx_damttcontent_files	159	fileadmin/s-pf/images/42-2.jpg	live/other-sites/pyrofessor/42-2.jpg	f2e717956f2509a1dddab0e0d7d5aef3d3bcb1e03ca0fbb9bc36d2c2f14fbc35	21489	True	
