group	path	bytes	sha256	disposition
A. chrome, in use	Bildschirmfoto 2025-10-14 um 04.00.59 1.png	2617	4b8b106a61b61e0e	KEEP
A. chrome, in use	contact-image.png	115499	7a05656c5d6c9f55	KEEP
A. chrome, in use	corner.png	21742	8e8fc5e8db3915f5	KEEP
A. chrome, in use	footer-logo.png	30323	42cf9053cfcc6de3	KEEP
A. chrome, in use	maja.webp	13698	fae505d886583864	KEEP
A. chrome, in use	shared/general/logo.svg	480	e67e035b9c5b47d0	KEEP
A. chrome, in use	sidebar-brush.png	159803	18925aed22a95794	KEEP
B. template demo asset	carousel/gallery/gallery1.svg	605	82441b38f4d129ac	KEEP (template decision)
B. template demo asset	carousel/gallery/gallery2.svg	626	ada2e000992bd7f3	KEEP (template decision)
B. template demo asset	carousel/gallery/gallery3.svg	613	9e8c4a3e643f4ee5	KEEP (template decision)
B. template demo asset	carousel/hero/hero1.svg	703	abc66988abc93f8a	KEEP (template decision)
B. template demo asset	carousel/hero/hero2.svg	684	94c21e44fe889d4a	KEEP (template decision)
B. template demo asset	carousel/hero/hero3.svg	692	cc3ce99327755013	KEEP (template decision)
B. template demo asset	hero/hero-maja-explosiv.jpg	37336	241476998969470a	KEEP (template decision)
C. placeholder	news/2024/placeholder-news/placeholder.jpg	17992	59f0cc0f758d4655	DELETE (owner: ignore placeholders)
C. placeholder	projects/installations/placeholder-installation/placeholder.jpg	20031	bb15b5cb2fb07c8c	DELETE (owner: ignore placeholders)
C. placeholder	projects/performance/placeholder-performance/placeholder.jpg	23727	a0c476c46b75b5c3	DELETE (owner: ignore placeholders)
C. placeholder	projects/sculptures/placeholder-sculpture/placeholder.jpg	22370	4f70a512bfb2e80a	DELETE (owner: ignore placeholders)
D. content: press clippings	shared/press/1993-wohlgroth-ta-august.jpg	635035	a0597b2f18cddcfa	DELETE - superseded by Stage 2
D. content: press clippings	shared/press/1994-felix-und-regula-ta-april.jpg	880253	5e524169677e7945	DELETE - superseded by Stage 2
D. content: press clippings	shared/press/1999-dorfbachschiff-zo-june.jpg	736749	6c0fc9230b69f40d	DELETE - superseded by Stage 2
D. content: press clippings	shared/press/2004-casino-gitano-1.jpg	699298	dae889bdc3a77289	DELETE - superseded by Stage 2
D. content: press clippings	shared/press/2005-free-radicals-glas-istre-july.jpg	508766	8b77bc4d99ebf492	DELETE - superseded by Stage 2
D. content: press clippings	shared/press/2007-derevo-mannheimer-morgen-july.jpg	440688	51a0a0d08913da52	DELETE - superseded by Stage 2
E. content: migrated project	projects/paintings/akwa/akwa-001.jpg	189931	2cba89cf41a966cc	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-002.jpg	251708	cf4da79b25d4ad70	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-003.jpg	400958	be202ee9bcd69e81	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-004.jpg	537303	d95e6b85aea609be	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-005.jpg	459325	a8d894ad7e506253	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-006.jpg	82999	495b4dde3429de05	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-007.jpg	135213	9dc503bfd80a62bb	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-008.jpg	134984	1db7301c3b9daeaa	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-009.jpg	124226	ec48088b4685841d	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-upload-010.jpg	171698	8a15dd2ea8e59fc9	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/akwa/akwa-upload-011.jpg	61122	2d7ac9b1d044ca96	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-001.jpg	424902	e8a8ed080e0d691a	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-002.jpg	259025	6ca8cc9923b9484c	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-003.jpg	536248	6a5fb430bf6af4d3	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-004.jpg	635553	1821f0ecf257c751	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-005.jpg	494207	1f62fc0c7938514a	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-006.jpg	155946	3ffb6bf742f94e98	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-007.jpg	476458	b651a81b3a87446e	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-008.jpg	575391	41c54a961d82ce07	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-009.jpg	158139	297024a4678d3bc8	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-010.jpg	375670	1c4385a6784615a1	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-011.jpg	750737	5738afd449e7413c	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-012.jpg	670308	c7b51200ee7d455e	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-013.jpg	642456	cdea51ffb4025f37	DELETE - superseded by Stages 6-11
E. content: migrated project	projects/paintings/concept-illustration/concept-illustration-014.jpg	188999	a5cfc260804062a1	DELETE - superseded by Stages 6-11
