source_id	source_file	source_excerpt	target_file	target_asset	status	note
tt_content:1452:e1	fileadmin/s-maj/images/BilderMaja/presse/20180525ZürcherOberländer2.pdf	Solo Exhibition, Kunst ist Leben; Big Article, Zürcher Oberl	src/pages/about/press.md	-	missing-from-source	file absent from the Jan-2025 backup (non-ASCII path)
tt_content:1452:e2	fileadmin/s-maj/images/BilderMaja/presse/20180519ZürcherOberländer.pdf	Solo Exhibition, Kunst ist Leben; Anouncment, Zürcher Oberlä	src/pages/about/press.md	-	missing-from-source	file absent from the Jan-2025 backup (non-ASCII path)
tt_content:1452:e3	fileadmin/s-maj/images/BilderMaja/presse/2013_Destroy_HIV.pdf	Destoy HIV; Schirmherrschaft Frank Walter Steinmeier, Public	src/pages/about/press.md	/assets/images/shared/press/2013-destroy-hiv.pdf	migrated	PDF: carried as `file`; template renders only `image`, so no link yet
tt_content:1452:e4	fileadmin/s-maj/images/BilderMaja/presse/2012_Wacken_Scull_aus_Acrystal_--_Lange_Ritter_GmbH.pdf	Wacken Scull; Anwender Bericht Acrystal, Lange Ritter, 2012	src/pages/about/press.md	/assets/images/shared/press/2012-wacken-scull-aus-acrystal-lange-ritter-gmbh.pdf	migrated	PDF: carried as `file`; template renders only `image`, so no link yet
tt_content:1452:e5	fileadmin/s-maj/images/BilderMaja/presse/2007_Alchemy_Bar_-_Wired_A4.pdf	The Alchemy Bar; Wired Magazine, October 2007	src/pages/about/press.md	/assets/images/shared/press/2007-alchemy-bar-wired-a4.pdf	migrated	PDF: carried as `file`; template renders only `image`, so no link yet
tt_content:1452:e6	fileadmin/s-maj/images/BilderMaja/presse/2007_Mannheimer-Morgen.jpg	Derevo, Wheel of Power; Mannheim, Mannheimer-Morgen, July 20	src/pages/about/press.md	/assets/images/shared/press/2007-mannheimer-morgen.jpg	migrated	jpegtran lossless
tt_content:1452:e7	fileadmin/s-maj/images/BilderMaja/presse/2007_Rein-Neckar-Zeitung.jpg	Derevo, Wheel of Power; Mannheim, Rein-Neckar-Zeitung, July 	src/pages/about/press.md	/assets/images/shared/press/2007-rein-neckar-zeitung.jpg	migrated	jpegtran lossless
tt_content:1452:e8	fileadmin/s-maj/images/BilderMaja/presse/2007_Die-Reinpfalz.jpg	Derevo, Wheel of Power; Mannheim, Die-Reinpfalz, July 2007	src/pages/about/press.md	/assets/images/shared/press/2007-die-reinpfalz.jpg	migrated	jpegtran lossless
tt_content:1452:e9	fileadmin/s-maj/images/BilderMaja/presse/2006_Rdock1.jpg	The Alchemy Bar, part 1; Amsterdam, Recycling International,	src/pages/about/press.md	/assets/images/shared/press/2006-rdock1.jpg	migrated	jpegtran lossless
tt_content:1452:e10	fileadmin/s-maj/images/BilderMaja/presse/2006_Rdock2.jpg	The Alchemy Bar, part 2; Amsterdam, Recycling International,	src/pages/about/press.md	/assets/images/shared/press/2006-rdock2.jpg	migrated	jpegtran lossless
tt_content:1452:e11	fileadmin/s-maj/images/BilderMaja/presse/2006_rdock3.jpg	The Alchemy Bar, part 3; Amsterdam, Recycling International,	src/pages/about/press.md	/assets/images/shared/press/2006-rdock3.jpg	migrated	jpegtran lossless
tt_content:1452:e12	fileadmin/s-maj/images/BilderMaja/presse/2005_freeRadicalPula.jpg	Free Radicals; Pula, Glas Istre, July 2005	src/pages/about/press.md	/assets/images/shared/press/2005-freeradicalpula.jpg	migrated	jpegtran lossless
tt_content:1452:e13	fileadmin/s-maj/images/BilderMaja/presse/2004_casino1.jpg	Casino Gitano 1; Press voices, 2004	src/pages/about/press.md	/assets/images/shared/press/2004-casino1.jpg	migrated	jpegtran lossless
tt_content:1452:e14	fileadmin/s-maj/images/BilderMaja/presse/2004_casino2.jpg	Casino Gitano 2; Press voices, 2004	src/pages/about/press.md	/assets/images/shared/press/2004-casino2.jpg	migrated	jpegtran lossless
tt_content:1452:e15	fileadmin/s-maj/images/BilderMaja/presse/2004_casino3.jpg	Casino Gitano 3; Press voices, 2004	src/pages/about/press.md	/assets/images/shared/press/2004-casino3.jpg	migrated	jpegtran lossless
tt_content:1452:e16	fileadmin/s-maj/images/BilderMaja/presse/2003_sihlpapier.jpg	Dada Festwochen; Zurich, NZZ, February 2003	src/pages/about/press.md	/assets/images/shared/press/2003-sihlpapier.jpg	migrated	jpegtran lossless
tt_content:1452:e17	fileadmin/s-maj/images/BilderMaja/presse/2003_Elxt5.jpg	Elxt 90; Terrassa, August 2003	src/pages/about/press.md	/assets/images/shared/press/2003-elxt5.jpg	migrated	jpegtran lossless
tt_content:1452:e18	fileadmin/s-maj/images/BilderMaja/presse/2002_elxt4.jpg	Elxt 90; Salamanca, La Gazeta, July 2003	src/pages/about/press.md	/assets/images/shared/press/2002-elxt4.jpg	migrated	jpegtran lossless
tt_content:1452:e19	fileadmin/s-maj/images/BilderMaja/presse/2002_elxt3.jpg	Elxt 90; Lugano, June 2002	src/pages/about/press.md	/assets/images/shared/press/2002-elxt3.jpg	migrated	jpegtran lossless
tt_content:1452:e20	fileadmin/s-maj/images/BilderMaja/presse/2001_Elxt2.jpg	Elxt 90; Winterthur, TA, August 2001	src/pages/about/press.md	/assets/images/shared/press/2001-elxt2.jpg	migrated	jpegtran lossless
tt_content:1452:e21	fileadmin/s-maj/images/BilderMaja/presse/2001_ELXT1.jpg	Elxt 90; Zurich, TA, June 2000	src/pages/about/press.md	/assets/images/shared/press/2001-elxt1.jpg	migrated	jpegtran lossless
tt_content:1452:e22	fileadmin/s-maj/images/BilderMaja/presse/1999_pfae1.jpg	Inauguration Dorfbachschiff; Pfäffikon, ZO, June 1999	src/pages/about/press.md	/assets/images/shared/press/1999-pfae1.jpg	migrated	jpegtran lossless
tt_content:1452:e23	fileadmin/s-maj/images/BilderMaja/presse/1999_pfae3.jpg	Dorfbachschiff; Pfäffikon, June 1999	src/pages/about/press.md	/assets/images/shared/press/1999-pfae3.jpg	migrated	jpegtran lossless
tt_content:1452:e24	fileadmin/s-maj/images/BilderMaja/presse/1999_pfae2.jpg	Dorfbachschiff; Pfäffikon, Pfäffikerin, June 1999	src/pages/about/press.md	/assets/images/shared/press/1999-pfae2.jpg	migrated	jpegtran lossless
tt_content:1452:e25	fileadmin/s-maj/images/BilderMaja/presse/1998_bimbotown2.jpg	Bimbo Town; Leipzig, Bild, March 1998	src/pages/about/press.md	/assets/images/shared/press/1998-bimbotown2.jpg	migrated	jpegtran lossless
tt_content:1452:e26	fileadmin/s-maj/images/BilderMaja/presse/1998_Leipzig_bimbotown.jpg	Bimbo Town; Leipzig, November 1997	src/pages/about/press.md	/assets/images/shared/press/1998-leipzig-bimbotown.jpg	migrated	jpegtran lossless
